Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
project;206027;XF-ACTORS;"Xylella Fastidiosa Active Containment Through a multidisciplinary-Oriented Research Strategy";727987;"XF-ACTORS aims to establish a multidisciplinary research program to answer the urgent need to improve prevention, early detection and control of Xylella fastidiosa (Xf). Recently, Xf was introduced into Italy, where it is causing severe damage to olive crops, and in France...";;H2020-EU.3.2.1.1.,H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/natural sciences/biological sciences/microbiology/bacteriology;/engineering and technology/environmental engineering/remote sensing;/natural sciences/biological sciences/zoology/entomology;/natural sciences/biological sciences/genetics/genomes";2016-11-01;2021-04-30;en;en;"2022-10-31 20:18:56";https://cordis.europa.eu/project/id/727987
project;210497;MUSA;"Microbial Uptakes for Sustainable management of major bananA pests and diseases";727624;"Nematodes and weevils of banana with Panama disease globally affect food security, causing yearly crop losses for many billion €  in Canary Islands, Caribbean and Africa. These threats concomitantly affect crops in tropical and sub-tropical systems. In regions such as Sub...";;H2020-EU.3.2.1.1.,H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/natural sciences/biological sciences/microbiology/bacteriology;/natural sciences/biological sciences/microbiology/mycology;/natural sciences/computer and information sciences/data science/data mining;/medical and health sciences/health sciences/nutrition;/natural sciences/biological sciences/biological behavioural sciences/ethology/biological interactions";2017-06-01;2021-11-30;en;en;"2022-09-21 16:52:21";https://cordis.europa.eu/project/id/727624
project;238626;IDAlert;"Infectious Disease decision-support tools and Alert systems to build climate Resilience to emerging health Threats";101057554;"Climate change is one of several drivers of recurrent outbreaks and geographical range expansion of zoonotic infectious diseases in Europe. Policy and decision-makers need tailored monitoring of climate-induced disease risk, and decision-support tools for timely early warning...";;HORIZON.2.1,HORIZON.2.1.2;"/medical and health sciences/health sciences/infectious diseases;/social sciences/sociology/social issues/social inequalities;/social sciences/political sciences/political policies/civil society;/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic changes;/social sciences/economics and business/economics/sustainable economy";2022-06-01;2027-05-31;en;en;"2022-08-02 08:48:24";https://cordis.europa.eu/project/id/101057554
project;229513;SPRINT;"SUSTAINABLE PLANT PROTECTION TRANSITION: A GLOBAL HEALTH APPROACH";862568;"SPRINT will develop and validate a Global Health Risk Assessment Toolbox to integrate assessments of the impacts of plant protection products (PPP) on ecosystem, plant, animal and human (EPAH) health, using three main attributes for health status: resilience...";;H2020-EU.3.2.1.1.,H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/social sciences/economics and business/economics/production economics/productivity;/natural sciences/biological sciences/ecology/ecosystems";2020-09-01;2025-08-31;en;en;"2023-01-13 17:17:26";https://cordis.europa.eu/project/id/862568
project;92551;"XPLORE HEALTH";"A European gateway to the science and research of health, through online and offline innovative activities aimed at citizens, patients, pupils and teachers";241873;"Xplore Health is a joint initiative to build and promote an online and offline interactive environment – with multimedia tools and attending activities – that will nurture active engagement of society with state-of-the-art science and research around health and its wider ethi...";;FP7-HEALTH;"/social sciences/educational sciences/didactics;/humanities/arts/modern and contemporary art/radio and television;/medical and health sciences";2010-01-01;2012-08-31;en;en;"2022-05-25 14:43:36";https://cordis.europa.eu/project/id/241873
brief;158597;;"Smarter terrorist detection";158597-smarter-terrorist-detection;"An EU team developed a new terrorist detection network. The innovation combines new camera and communication technologies with reasoning algorithms, and an unmanned aerial vehicle.";Health;FP7-SECURITY;;;;en;de,en,es,fr,it,pl;"2017-05-02 17:55:47";https://cordis.europa.eu/article/id/158597-smarter-terrorist-detection
mag;400796;;"European wine producers step their game up";400796-european-wine-producers-step-their-game-up;;;;;;;en;de,en,es,fr,it,pl;"2017-06-01 00:00:01";https://cordis.europa.eu/article/id/400796-european-wine-producers-step-their-game-up
mag;400716;;"Energy and resources: alternatives, renewables, generation, distribution...efficiency all the way!";400716-energy-and-resources-alternatives-renewables-generation-distribution-efficiency-all-the-way;;;;;;;en;de,en,es,fr,it,pl;"2011-05-01 00:00:01";https://cordis.europa.eu/article/id/400716-energy-and-resources-alternatives-renewables-generation-distribution-efficiency-all-the-way
brief;241244;;"Next-generation asthma inhalers";241244-nextgeneration-asthma-inhalers;"In Europe alone, there are almost 30 million people who suffer from asthma. The myAirCoach project provides an innovative smart inhaler device along with integrated mobile Health (mHealth) personalised asthma monitoring services for empowering and guiding patients with asthma to manage their own health on a daily basis.";Health;H2020-EU.3.1.,H2020-EU.3.1.4.;;;;en;de,en,es,fr,it,pl;"2018-12-05 17:55:24";https://cordis.europa.eu/article/id/241244-nextgeneration-asthma-inhalers
mag;400778;;"High-tech concepts to sense the world";400778-high-tech-concepts-to-sense-the-world;;;;;;;en;de,en,es,fr,it,pl;"2015-02-01 00:00:01";https://cordis.europa.eu/article/id/400778-high-tech-concepts-to-sense-the-world
pubsum;223013;;"Final Report Summary - CAPACITIE (Cutting-Edge Approaches for Pollution Assessment in Cities)";608014_PS;"The CAPACITIE project trained a new generation of researchers with the skills to develop and apply cutting-edge technologies to monitor pollutants in the natural environment. The researchers also have a detailed understanding of the needs of users of monitoring data and of the...";;FP7-PEOPLE;;;;en;en;"2018-03-22 15:26:46";https://cordis.europa.eu/project/id/608014/reporting
pubsum;175696;;"Final Report Summary - EU-GEI (European Network of National Schizophrenia Networks Studying Gene-Environment Interactions)";241909_PS;"Executive Summary:The aim of EU-GEI is to identify the interactive genetic, clinical en environmental determinants involved in the development, severity and outcome of schizophrenia. In order to identity these interactive determinants, EU-GEI has employed family-based...";;FP7-HEALTH;;;;en;en;"2016-01-21 12:41:20";https://cordis.europa.eu/project/id/241909/reporting
pubsum;140937;;"Final Report Summary - RICHE (RICHE – a platform and inventory for child health research in Europe)";242181_PS;"RICHE was the response to a call under HEALTH-2009-3.3-5, with the title of 'European child health research platform'. The call text asked us to “address the diversity and fragmentation in child health research in Europe in an inclusive multidisciplinary way, identifying research...";;FP7-HEALTH;;;;en;en;"2014-07-08 16:58:38";https://cordis.europa.eu/project/id/242181/reporting
project;194014;NoHoW;"Evidence-based ICT tools for weight loss maintenance";643309;"Most adults who try to lose weight fail to maintain it. Obesity is a key economic and healthcare challenge for Europe. Effective interventions and commercial programmes for weight loss are widely available, but most people re-gain their lost weight. Currently few comprehensive...";;H2020-EU.3.1.,H2020-EU.3.1.4.;"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/mobile phones;/medical and health sciences/health sciences/nutrition/obesity";2015-03-01;2020-02-29;en;en;"2022-09-03 23:44:05";https://cordis.europa.eu/project/id/643309
pubsum;219137;;"Final Report Summary - POLYGRAPH (Up-Scaled Production of Graphene Reinforced Thermosetting Polymers for Composite, Coating and Adhesive Applications)";604143_PS;"The concept of the PolyGraph project was to develop new production techniques, which deliver industrial scale quantities of graphene-reinforced thermosetting polymers. This was achieved by developing new manufacturing routes starting from the relatively inexpensive expanded...";;FP7-NMP;;;;en;en;"2018-02-27 12:32:39";https://cordis.europa.eu/project/id/604143/reporting
pubsum;140565;;"Final Report Summary - ISWA (Immersion in the Science Worlds through Arts)";266656_PS;"The objective of the project was to use art to communicate emotions related to the understanding of nature and to stimulate students to create artistic initiatives able to demonstrate commonalities of artistic and scientific fascination. The objective was pursued according to...";;FP7-SIS;;;;en;en;"2014-07-08 16:49:59";https://cordis.europa.eu/project/id/266656/reporting
programme;670;;"Multiannual Framework Programme 2002-2006 of the European Community for research, technological development and demonstration activities aimed at contributing towards the creation of the European Research Area";FP6;;;;;2002-09-30;2006-12-31;en;de,en,es,fr,it;"2014-10-30 17:49:53";https://cordis.europa.eu/programme/id/FP6
project;242114;NEXUS-MONARC;"CAPACITY BUILDING NEXUS FOR MONITORING WATER QUALITY IN MULTI-STRESSOR AREAS: PILOT STUDY AT THE HELLENIC VOLCANIC ARC";101079156;"The NEXUS-MONARC project proposes a set of capacity building actions targeting to advance the profile of staff at the department of geology and geoenvironment and collaborating groups at the National and Kapodistrian University of Athens. Through these actions, a holistic...";;HORIZON.4.1.2,HORIZON.4.1;"/agricultural sciences/agriculture, forestry, and fisheries/fisheries;/natural sciences/earth and related environmental sciences/hydrology;/social sciences/social geography/transport;/social sciences/economics and business/business and management;/natural sciences/earth and related environmental sciences/geology";2023-01-01;2025-12-31;en;en;"2022-09-21 16:45:15";https://cordis.europa.eu/project/id/101079156
programme;707925;;"Mission Climate adaptation, Mission Ocean & waters and Mission Soil Deal for Europe – Joint demonstration of an integrated approach to increasing landscape water retention capacity at regional scale";HORIZON_HORIZON-MISS-2023-CLIMA-OCEAN-SOIL-01-01;"This joint topic relates to the Adaptation to Climate Change Mission’s third objective, aiming to support at least 75 full-scale deep demonstrations of climate resilience, to the Mission Ocean &amp; Waters’ objective 1, protect and restore marine and freshwater ecosystems...";;;;;;en;en;"2022-12-16 17:58:49";https://cordis.europa.eu/programme/id/HORIZON_HORIZON-MISS-2023-CLIMA-OCEAN-SOIL-01-01
brief;86331;;"Science for everyone, every day";86331-science-for-everyone-every-day;"Mixing science, culture and entertainment in a series of events is doing wonders to demystify a challenging subject and bring the public much closer to the intricacies of science.";"Climate Change and Environment";FP7-PEOPLE;;;;en;de,en,es,fr,it,pl;"2011-03-16 14:00:23";https://cordis.europa.eu/article/id/86331-science-for-everyone-every-day
news;421539;;"Hungarian contribution to PaNOSC OSCOVIDA allows following COVID-19 pandemic in the country at county level";421539-hungarian-contribution-to-panosc-oscovida-allows-following-covid-19-pandemic-in-the-country-a;"Via OSCOVIDA, data on COVID-19 deaths and infections in Hungary can now be monitored at county level.";Society,Health;;;;;en;en;"2020-07-06 09:00:18";https://cordis.europa.eu/article/id/421539-hungarian-contribution-to-panosc-oscovida-allows-following-covid-19-pandemic-in-the-country-a
pubsum;196997;;"Final Report Summary - COEURE (Cooperation for European Research in Economics)";320300_PS;"TSE coordinated the COEURE (COoperation on EUropean Research in Economics), a three-year project financed by the European Commission under the FP7 with a 1.6 million euros budget and intended to bring together the key stakeholders in the European economic research space –...";;FP7-SSH;;;;en;en;"2017-04-07 10:51:57";https://cordis.europa.eu/project/id/320300/reporting
project;221331;Lipofabrik;"A ground-breaking biomolecular production platform for safer, more efficient and sustainable pest control and crop health management";849713;"LIPOFABRIK is an innovative start-up from the University of Lille, specialized in the production of biological molecules with application in the phytosanitary, food, cosmetic and medical cleaning markets. Our specialised team of researchers has developed and patented a...";;H2020-EU.3.,H2020-EU.2.3.,H2020-EU.2.1.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/natural sciences/biological sciences/biochemistry/biomolecules;/medical and health sciences/health sciences/infectious diseases";2019-04-01;2021-03-31;en;en;"2022-08-22 22:09:00";https://cordis.europa.eu/project/id/849713
project;221063;DESSA;"DEcision Support system for Smart Agriculture";854408;"Fertilizers and conventional pesticides have been used in agriculture to improve crop yield and control plant pests. However, the excessive and uncontrolled application of agrochemicals has had a negative side effect on both environment and human health. Contamination of water...";;H2020-EU.3.,H2020-EU.2.3.,H2020-EU.2.1.;"/natural sciences/computer and information sciences/internet/internet of things;/natural sciences/computer and information sciences/software;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing";2019-03-01;2019-06-30;en;en;"2022-08-19 15:42:35";https://cordis.europa.eu/project/id/854408
project;217200;Asterix;"Weeding robot for precision farming reducing herbicide usage by 95%";829983;"The overall vision of the Project is to prototype, pilot, and commercialise our cost-effective and environmentally friendly weeding robot, Asterix, for the global precision farming sector. Our light-weight, autonomous robot is the only solution on the market that successfully...";;H2020-EU.3.,H2020-EU.2.3.,H2020-EU.2.1.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/optical sensors;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/robotics/autonomous robots;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing;/natural sciences/computer and information sciences/artificial intelligence/machine learning";2018-09-01;2020-06-30;en;en;"2022-08-17 12:28:21";https://cordis.europa.eu/project/id/829983
project;212439;GREENPATROL;"Galileo Enhanced Solution for Pest Detection and Control in Greenhouse Fields with Autonomous Service Robots";776324;"European agriculture is facing numerous challenges such as population growth, climate change, resource shortages or increased competition. Besides, the area of land available for agriculture is declining, rural areas become depopulated and farming population is aging...";;H2020-EU.2.1.6.,H2020-EU.3.2.1.,H2020-EU.2.1.6.3.,H2020-EU.2.1.6.1.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/natural sciences/computer and information sciences/artificial intelligence/computer vision;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/robotics/autonomous robots;/engineering and technology/other engineering and technologies/food technology/food safety;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors";2017-11-01;2020-09-30;en;en;"2022-08-18 10:34:20";https://cordis.europa.eu/project/id/776324
project;214749;INNOSETA;"Accelerating Innovative practices for Spraying Equipment, Training and Advising in European agriculture through the mobilization of Agricultural Knowledge and Innovation Systems";773864;"The aim of this network is to set-up a self-sustainable Thematic Network on Spraying Equipment, Training and Advising designed for the effective exchange between researchers, industry, extension services and farming community. This network will link directly applicable...";;H2020-EU.3.2.4.,H2020-EU.3.2.1.,H2020-EU.3.2.,H2020-EU.3.2.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/viticulture;/social sciences/economics and business/business and management/innovation management;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing;/social sciences/political sciences/political policies/civil society;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds/cereals";2018-05-01;2021-10-31;en;en;"2022-07-25 22:05:28";https://cordis.europa.eu/project/id/773864
project;193282;nEUROSTRESSPEP;"Novel biocontrol agents for insect pests from neuroendocrinology";634361;"Insects are the most diverse Class of life on earth, and different insects can be essential for, or highly damaging to, agriculture, horticulture and forestry. There is a pressing need, not just for new insecticides to combat resistance, but more specific, “greener”...";;H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/natural sciences/biological sciences/synthetic biology;/medical and health sciences/health sciences/nutrition;/natural sciences/biological sciences/zoology/entomology;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture";2015-06-01;2019-05-31;en;en;"2022-08-16 18:46:53";https://cordis.europa.eu/project/id/634361
project;202632;WATERSPOUTT;"Water - Sustainable Point-Of-Use Treatment Technologies";688928;"The WHO estimates that in 2015 in Africa ~156 million people relied on untreated sources for their drinking water. WATERSPOUTT will design, develop, pilot and field-test a range of, sustainable point-of-use solar disinfection (SODIS) technologies that will provide affordable...";;H2020-EU.3.5.,H2020-EU.3.5.4.;"/engineering and technology/environmental engineering/energy and fuels/renewable energy/solar energy;/engineering and technology/environmental engineering/water treatment processes/drinking water treatment processes;/natural sciences/biological sciences/microbiology/bacteriology;/natural sciences/biological sciences/microbiology/virology;/engineering and technology/environmental engineering/natural resources management/water management";2016-06-01;2020-05-31;en;en;"2022-08-18 09:32:23";https://cordis.europa.eu/project/id/688928
project;204627;POnTE;"Pest Organisms Threatening Europe";635646;"This proposal SFS-03a-2014-aligned focuses to minimize the risk of introduction/impact of emerging pests threatening EU agriculture and forestry. The targets are: 1) Xylella fastidiosa and its vectors in olive, grapevine, citrus, stone fruit, ornamentals and landscape trees of...";;H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/engineering and technology/other engineering and technologies/microtechnology/lab on a chip;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/fruit growing;/engineering and technology/environmental engineering/remote sensing;/agricultural sciences/agriculture, forestry, and fisheries/forestry";2015-11-01;2019-10-31;en;en;"2022-08-16 23:08:55";https://cordis.europa.eu/project/id/635646
project;193267;EUCLID;"EU-CHINA Lever for IPM Demonstration";633999;"More sustainable pest management methods are needed in order to reduce the negative effects of pesticides on human health and the environment. The overall goal of EUCLID is to contribute to secure the production of food for the increasing worldwide population while developing...";;H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/fruit growing;/medical and health sciences/health sciences/nutrition;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing;/natural sciences/biological sciences/ecology/invasive species";2015-09-15;2019-11-14;en;en;"2022-08-18 13:58:44";https://cordis.europa.eu/project/id/633999
project;193276;EMPHASIS;"Effective Management of Pests and Harmful Alien Species - Integrated Solutions";634179;"EMPHASIS is a participatory research project addressing native and alien pests threats (insect pests, pathogens, weeds) for a range of both natural ecosystems and farming systems (field crops, protected crops, forestry, orchards and amenity plants).The overall goal is to...";;H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds/oilseeds;/medical and health sciences/health sciences/nutrition;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing;/agricultural sciences/agriculture, forestry, and fisheries/forestry";2015-03-01;2019-02-28;en;en;"2022-08-17 13:52:46";https://cordis.europa.eu/project/id/634179
project;223257;Fiware4Water;"FIWARE for the Next Generation Internet Services for the WATER sector";821036;"""FIWARE is a smart solution platform, funded by the EC (2011-16) as a major flagship PPP, to support SMEs and developers in creating the next generation of internet services, as the main ecosystem for Smart City initiatives for cross-domain data exchange/cooperation and for...";;H2020-EU.3.5.,H2020-EU.3.5.4.,H2020-EU.3.5.2.2.;"/engineering and technology/civil engineering/urban engineering/smart cities;/natural sciences/computer and information sciences/internet;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/natural sciences/computer and information sciences/data science/data exchange;/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications";2019-06-01;2022-05-31;en;en;"2022-12-09 12:50:53";https://cordis.europa.eu/project/id/821036
programme;708001;;"Creating smart and attractive tools to enhance healthy and sustainable food provision, eating and treating of food at home";HORIZON_HORIZON-CL6-2024-FARM2FORK-01-5;"Urban lifestyles have led to more consumption of ultra-processed and packaged food[[ FAO. “Urban Food Action (UFA)”, 2019]]. Cooking skills may enhance healthy and sustainable diets, so supporting consumers provides potential[[ Hartmann, C., Dohle, S., Siegrist, M...";;;;;;en;en;"2022-12-16 17:59:52";https://cordis.europa.eu/programme/id/HORIZON_HORIZON-CL6-2024-FARM2FORK-01-5
mag;400724;;"Results Supplement No. 007";400724-results-supplement-no-007;;;;;;;en;de,en,es,fr,it,pl;"2008-09-01 00:00:01";https://cordis.europa.eu/article/id/400724-results-supplement-no-007
deliverable;876097;;"Documentation on activities and outcomes in CS actions, final report";824484_8_DELIV;;;;;;;en;en;"2022-10-11 16:02:45";https://cordis.europa.eu/result/rcn/876097/en
deliverable;875893;;"Documentation on activities and outcomes in CS actions, 2nd report";824484_7_DELIV;;;;;;;en;en;"2022-10-11 15:58:27";https://cordis.europa.eu/result/rcn/875893/en
pubsum;648328;;"Periodic Reporting for period 2 - HERA (Integrating Environment and Health Research: a Vision for the EU)";825417_PS;"The HERA project aimed at setting the priorities for an environment, climate and health research agenda in the EU by adopting a holistic, systemic and inclusive approach.  WP1 aimed at building a management framework and acting as the interface between the consortium and the...";;H2020-EU.3.1.,H2020-EU.3.1.6.;;;;en;en;"2022-11-11 20:45:33";https://cordis.europa.eu/project/id/825417/reporting
deliverable;478554;;"Documentation on activities and outcomes in CS actions, 1st report";824484_6_DELIV;;;;;;;en;en;"2020-07-18 14:45:16";https://cordis.europa.eu/result/rcn/478554/en
pubsum;227592;;"Final Report Summary - HEALTHATWORK (An inquiry into the health and safety at work; a European Union perspective)";200716_PS;"Executive summary Aims The HEALTHatWORK project aims to review current knowledge and issues related to the economic impact of health at work, to assemble, organise, analyse and synthesise data from national projects and surveys in the participant countries, and to recommend...";;FP7-HEALTH;;;;en;en;"2018-04-30 17:45:21";https://cordis.europa.eu/project/id/200716/reporting
